SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
A4D12	4918	5180.79220779221	5130.02425077016	7.92283751784969	0.999522129184973	2092.61576257355
A4D15	4788	5037.85714285714	4990.07964909527	7.88044278123106	0.999509086805308	2037.02000845165
A4D18	4901	5045.375	5025.11165907217	7.8904228622317	0.999524040156599	2101.01758344606
A4D21	5087	5274.85046728972	5249.05344017393	7.92443686935044	0.999544144126352	2193.67580370725
A4D24	4850	5004.96721311475	4930.08417004498	7.88747508159558	0.999488119971846	1953.58276353571
A4D27	5028	5149.12941176471	5109.12705422874	7.87489998345649	0.999492621195986	1970.91402338472
A4D3	4529	4796.35882352941	4760.96357122923	7.77110349470718	0.999495818846815	1983.41408377394
A4D30	5271	5425.42307692308	5425.32157079346	7.92779729149132	0.999514104805411	2058.05698664382
A4D37	5056	5264.93548387097	5228.32937112885	7.90495922433727	0.999516098413488	2066.53589877439
A4D6	4795	4924.87577639752	4924.39247229832	7.87630380025829	0.999493730776452	1975.23363753325
A4D9	4928	5143.44186046512	5057.12081212484	7.88691372499496	0.999518094315074	2075.09483967401
A6D12	4958	5113.67924528302	5101.0349124957	7.71410464988249	0.99934988798568	1538.19646149222
A6D18	5011	5190.17857142857	5129.96529667337	7.94301980653072	0.999518911498987	2078.61962589747
A6D21	5051	5202.3696969697	5189.61928144909	7.7307632820861	0.999358365884936	1558.52062183377
A6D24	5335	5469.33333333333	5417.73712370543	7.93866993481334	0.999524891095911	2104.78059113154
A6D27	4890	5111.23728813559	5108.28637195928	7.35972420066455	0.999011312166425	1011.44159565893
A6D3	5323	5447.03937007874	5439.75675945095	7.9254346580787	0.999522790093663	2095.51391687632
A6D30	5000	5351.57251908397	5287.0921369053	7.38808297502754	0.999073017754423	1078.76931275752
A6D37	4972	5102.87826086957	5105.59749138498	7.87011759120614	0.999492117201177	1968.95819728193
A6D44	4822	4940.59477124183	4964.25303078122	7.49638719607916	0.999159443452099	1189.68795436435
A6D6	5016	5117.26086956522	5077.55961283049	7.28836971666737	0.998962959392578	964.28239438525
A6D9	5056	5235.06451612903	5184.79880703706	7.92010296401183	0.999538221300562	2165.53946991822
A7D1	4711	5052.03260869565	4986.73399978575	7.72988093943038	0.999296474643714	1421.41287597533
A7D12	4707	4865.12903225806	4844.13274686458	7.76080328596711	0.999374938057009	1599.84144165744
A7D15	4871	5049.44444444444	5011.36394022549	7.80102940708392	0.999424051498063	1736.26634436387
A7D18	5053	5335.68292682927	5325.8967807525	7.9281014413466	0.99953380654476	2145.03225808887
A7D21	5050	5371.45086705202	5371.20878588775	7.75409763001248	0.999369940126875	1587.15074972058
A7D24	4991	5495.96992481203	5304.4372722544	7.55010883133499	0.999168766029283	1203.03071725678
A7D27	5042	5228.12068965517	5203.4131355883	7.44787844514881	0.999112389415715	1126.62018423882
A7D30	5026	5232.3309352518	5231.44558927671	7.44717415883225	0.99905671650102	1060.12667568315
A7D37	4696	4937.41984732824	4889.70766036648	7.77017444528712	0.999435291263335	1770.8243826826
A7D44	5259	5428.77777777778	5378.35850589876	7.3610684355158	0.999041985902401	1043.82597553213
A7D6	4886	5106.47286821705	5083.66354010414	7.93053820555842	0.999540273477213	2175.20623769459
A7D9	4622	4720.89380530973	4715.57092794136	7.87878158151109	0.999494728358256	1979.13343513305
B2D12	4919	5042.31288343558	5042.46134606539	7.80703355379885	0.999421096039002	1727.40224177492
B2D15	4876	5013.9	5027.15962734769	7.92053403213308	0.999516287368978	2067.34316176035
B2D18	4848	4999.52173913043	4983.51650992292	7.92105224946134	0.999534204040282	2146.86276069231
B2D21	4778	5003.53225806452	4941.73978208462	7.91110263164795	0.999527829416463	2117.87865416821
B2D24	4838	5053.12307692308	5024.02279289474	7.90970767869072	0.999537908839252	2164.07515430549
B2D27	4999	5128.49484536082	5097.21522860669	7.77086135795706	0.999377422428825	1606.22554730392
B2D3	4983	5147.66666666667	5189.96338706723	7.65082481783212	0.999372240013526	1592.96549883155
B2D37	5306	5394.87341772152	5361.77846715695	7.94653887607768	0.9995156423449	2064.59005957771
B2D44	4715	4913.9414893617	4923.78064618994	7.24064036000495	0.998942155090464	945.318156740436
B2D6	5365	5471.5306122449	5434.42421967424	7.7070188453864	0.99932871624774	1489.68300906035
B2D9	5359	5511.35099337748	5481.91581095062	7.93039566267777	0.999544972251481	2197.66817134798
B4D12	4737	4921.41176470588	4881.22850580214	7.71935724295827	0.999345580150095	1528.07100845835
B4D18	4672	4848.97580645161	4825.6484334617	7.85802896210276	0.999478091551591	1916.04486006849
B4D21	4924	5328.55555555556	5286.55618216233	7.91615322114049	0.999532364808462	2138.41904564615
B4D24	5391	5500.87878787879	5487.55566070506	7.77938148848875	0.999385510098722	1627.36604445461
B4D3	4458	4855.85416666667	4837.00398253003	7.79969692560698	0.99950118942652	2004.76905095212
B4D30	5447	5605.44382022472	5624.37688154138	7.36151895271884	0.999014630345986	1014.84757108767
B4D37	5335	5476.33720930233	5491.18555191189	7.45452680734314	0.999094616058746	1104.50379605291
B4D44	5338	5559.16083916084	5518.5835116989	7.63337493712194	0.999248833448025	1331.26268384861
B4D6	4844	5035.85714285714	5008.81847260028	7.89957030582714	0.99952908749271	2123.53671758236
B4D9	4785	5044.54929577465	5006.2174461779	7.80894613739608	0.999435066221493	1770.11897331043
B5D12	4909	5079.82692307692	5033.35578996093	7.90241698311237	0.999501871326157	2007.51342476338
B5D18	5165	5336.01648351648	5339.30945508221	7.92975771169465	0.999535685284597	2153.7116245204
